Surrey 3335.53 3670.02 658.78 3522.34 809.01 3323.8 1848.21 22.01 3311.94 3325.19 3774.5 0.0 3653.37 4413.43 3240.19 3334.74 3323.44 3518.9 1183.59 3672.18 3271.38 9.86 3145.8 1311.99 20.63 3329.01 3326.27 3283.07 42.95 10.91 254.29 3357.12 17.66 86.96 3655.87 3311.59 1648.24 3834.71 1027.82 1627.88 1013.23 1800.81 2782.61 2508.3 2341.54 1281.84 2442.81 1812.76 583.61 3992.92 549.32 2308.9
Laval 497.07 17.29 3003.85 154.03 2956.35 518.61 1805.33 3670.26 522.5 552.98 233.5 3653.37 0.0 802.74 663.89 483.18 496.44 154.0 2492.11 18.81 587.55 3658.97 827.89 2341.39 3673.95 528.63 543.62 487.45 3617.77 3646.91 3400.57 460.88 3641.4 3709.23 13.57 539.68 2006.17 254.58 2649.25 2130.24 2702.48 2121.21 1232.99 1371.79 1384.81 2906.27 1220.28 1848.14 3114.1 615.19 3264.6 1621.86
Halifax 1265.65 788.82 3757.37 954.52 3683.36 1285.88 2574.4 4429.31 1292.94 1311.11 640.53 4413.43 802.74 0.0 1425.43 1255.66 1269.47 955.42 3236.72 785.14 1355.99 4418.46 1585.53 3105.16 4433.88 1291.47 1303.69 1275.49 4379.56 4406.38 4159.31 1231.14 4402.39 4473.61 795.84 1305.98 2776.53 582.91 3394.39 2926.87 3487.0 2923.94 1784.02 1999.23 2185.34 3708.86 2007.57 2600.67 3890.01 510.02 3993.86 2421.38
London 166.84 671.83 2620.45 518.13 2630.73 145.28 1436.54 3259.1 142.11 114.4 893.35 3240.19 663.89 1425.43 0.0 181.4 168.71 520.79 2147.46 676.69 78.11 3247.0 164.06 1956.16 3260.72 136.04 122.35 199.78 3201.24 3235.21 2995.36 203.02 3226.32 3284.99 675.47 124.21 1619.5 918.37 2296.79 1634.43 2242.37 1561.88 1358.46 1360.52 898.66 2343.05 847.36 1523.37 2671.21 1271.79 2925.04 1029.72
Markham 18.18 491.6 2703.58 336.75 2695.96 37.87 1505.93 3353.08 39.37 79.66 711.99 3334.74 483.18 1255.66 181.4 0.0 13.81 339.45 2215.82 496.4 104.38 3341.2 344.98 2036.15 3355.35 52.64 69.11 66.57 3296.74 3329.29 3086.71 24.86 3321.44 3383.11 494.57 58.19 1697.04 737.76 2368.56 1749.45 2348.52 1699.39 1279.62 1318.19 1001.58 2484.45 905.26 1579.35 2773.42 1090.48 2995.84 1177.08
Vaughan 15.82 504.98 2692.82 349.48 2686.18 28.27 1495.69 3341.8 26.73 71.05 724.9 3323.44 496.44 1269.47 168.71 13.81 0.0 352.09 2205.8 509.77 91.25 3329.91 331.99 2025.47 3344.04 44.67 60.62 64.09 3285.38 3318.01 3075.55 38.56 3310.1 3371.63 507.77 46.91 1686.42 751.02 2358.37 1737.05 2336.58 1686.14 1279.65 1315.24 989.49 2471.12 895.29 1569.88 2761.7 1103.08 2985.78 1163.51
Gatineau 354.84 166.83 2872.34 6.72 2833.33 376.37 1670.97 3536.11 378.69 413.88 373.59 3518.9 154.0 955.42 520.79 339.45 352.09 0.0 2364.61 170.75 443.17 3524.69 683.83 2207.6 3539.51 388.13 403.94 336.6 3482.79 3512.65 3266.8 319.0 3506.66 3573.32 162.91 397.29 1870.7 404.29 2521.19 1983.0 2560.3 1969.0 1181.38 1292.16 1235.59 2754.46 1079.73 1720.02 2974.8 751.02 3140.25 1467.95
Saskatoon 2219.28 2509.08 524.88 2368.58 483.98 2210.4 711.29 1198.06 2198.06 2218.43 2600.26 1183.59 2492.11 3236.72 2147.46 2215.82 2205.8 2364.61 0.0 2510.86 2166.04 1187.83 2080.47 234.97 1203.7 2218.01 2217.84 2158.64 1152.66 1175.81 929.85 2236.4 1173.97 1250.38 2493.57 2200.98 534.03 2661.53 157.7 749.0 534.32 1032.6 1614.13 1334.86 1271.54 1152.0 1310.56 644.59 739.18 2809.67 780.07 1374.89
Longueuil 509.97 5.13 3022.65 170.41 2975.0 531.47 1824.14 3689.07 535.66 565.16 224.71 3672.18 18.81 785.14 676.69 496.4 509.77 170.75 2510.86 0.0 600.73 3677.78 840.74 2360.2 3692.76 541.12 555.93 502.36 3636.59 3665.72 3419.38 473.81 3660.22 3728.04 21.08 552.52 2024.98 241.84 2668.01 2148.63 2721.17 2138.87 1247.79 1388.51 1402.98 2924.04 1238.99 1866.91 3132.87 605.99 3283.28 1638.69
Kitchener 91.29 595.91 2646.1 440.64 2648.19 70.32 1454.79 3290.03 65.06 53.99 816.13 3271.38 587.55 1355.99 78.11 104.38 91.25 443.17 2166.04 600.73 0.0 3278.04 240.75 1979.93 3291.96 65.44 56.86 124.51 3232.86 3266.18 3024.98 127.17 3257.77 3317.87 598.94 50.02 1641.79 842.13 2317.03 1674.56 2278.64 1613.17 1313.56 1330.13 931.63 2396.67 858.64 1535.62 2705.8 1194.08 2945.17 1085.69
